GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Goldman Sachs Group Inc,2,Federal National Mortgage Association,Jp Morgan Chase And Co,3.1
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Ally Financial,0.5
Alphabet Inc,2,Apple Inc,Goldman Sachs Group Inc,40.6
Alphabet Inc,2,Oracle Corp,Bnp Paribas,0.5
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Ubs Group Ag,5.4
Coca-Cola Company,2,Intercontinental Exchange,Bank Of New York Mellon Corp,2.1
Coca-Cola Company,3,Bank Of America Corp,Federal Home Loan Mortgage Corp,37.2
Coca-Cola Company,3,Bank Of America Corp,Bank Of New York Mellon Corp,14.4
Coca-Cola Company,3,Bank Of America Corp,Deutsche Telekom Ag,4.2
Jp Morgan Chase And Co,3,Bank Of America Corp,Intercontinental Exchange,3.9
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Oasis Petroleum Inc,0.6
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,City Office Reit Inc,2.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Tesla Inc,44.1
Morgan Stanley International Holdings Inc,3,Citigroup Inc,State Street Corp,5.3
Goldman Sachs Group Inc,3,Wells Fargo And Company,Energy Transfer Lp  1,2.9
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Brighthouse Financial Inc,0.6
Alphabet Inc,3,Nokia Corp,Facebook Inc,2.1
Goldman Sachs Group Inc,3,Bank Of America Corp,Google,24.0
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Deutsche Bank,1.9
Alphabet Inc,3,Jp Morgan Chase And Co,Fiat Chrysler Automobiles Nv,1.4
Alphabet Inc,3,Jp Morgan Chase And Co,Berkshire Hathaway Inc,1.0
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Brighthouse Financial Inc,2.6
Alphabet Inc,3,Ebay Inc,Goldman Sachs Group Inc,2.0
Alphabet Inc,3,Facebook Inc,Google,3.6
Microsoft Corp,3,Sandp Global Inc,Goldman Sachs Group Inc,100.0
Pepsico Inc,3,Deutsche Bank,Netflix Inc,3.7
Goldman Sachs Group Inc,3,Bank Of America Corp,Tesla Inc,18.1
Alphabet Inc,1,Alphabet Inc,Sandp Global Inc,39.2
Coca-Cola Company,1,Coca-Cola Company,Intercontinental Exchange,100.0
Microsoft Corp,2,Amazon Com Inc,Goldman Sachs Group Inc,4.9
Alphabet Inc,2,Oracle Corp,Microsoft Corp,12.0
Pepsico Inc,2,Jp Morgan Chase And Co,Waddell And Reed Financial Inc,0.7
Pepsico Inc,2,Jp Morgan Chase And Co,Thomson Reuters Corp,3.1
Pepsico Inc,2,Jp Morgan Chase And Co,Assured Guaranty Ltd,1.6
Pepsico Inc,2,Jp Morgan Chase And Co,Royal Bank Of Canada,0.6
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Deutsche Bank,3.2
Coca-Cola Company,2,Nrg Energy,Moodys Corp /De/,0.6
Pepsico Inc,2,Wells Fargo And Company,Allergan Plc,1.6
Microsoft Corp,2,International Business Machines Corp,Bnp Paribas,0.6
Pepsico Inc,2,Wells Fargo And Company,Delta Air Lines Inc,1.1
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Capital One Financial Corp,0.9
Microsoft Corp,2,International Business Machines Corp,Mizuho Financial Group Inc,0.6
Coca-Cola Company,2,Intercontinental Exchange,Credit Suisse Ag,0.5
Microsoft Corp,2,Us Bancorp,Keycorp /New/,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Wells Fargo And Company,2.9
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,International Flavors And Fragrances Inc,1.0
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Mbia Inc,1.1
Jp Morgan Chase And Co,3,Morgan Stanley International Holdings Inc,Citigroup Inc,0.6
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,City Office Reit Inc,0.5
Morgan Stanley International Holdings Inc,3,Intercontinental Exchange,Ubs Group Ag,0.5
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Deere And Company,1.1
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Legg Mason Inc,0.8
Alphabet Inc,3,Jp Morgan Chase And Co,Vanguard Group,2.7
Coca-Cola Company,3,Citigroup Inc,Berkshire Hathaway Inc,3.3
Coca-Cola Company,3,Citigroup Inc,Metlife Inc,3.9
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.3
