GRAPH,STARTING_NODE,ENDING_NODE,NODE_DISTANCE,CUM_INTENSITY
bp_plc,huawei_technologies_company_ltd,huawei_investment_and_holding_co_ltd,3,0.003094141669
bp_plc,tesla_inc,ford_motor_company,3,0.003019170152
bp_plc,pfizer_luxco_holdings_sarl,food_and_drug_administration,3,0.002653914463
bp_plc,tesla_inc,general_motors_limited,3,0.002511116695
bp_plc,house_srl,united_states_senate,3,0.002453904861
bp_plc,tesla_inc,ford_motor_company,3,0.002441113492
bp_plc,house_srl,united_states_congress,3,0.002397708425
bp_plc,house_srl,united_states_senate,3,0.002232031123
bp_plc,boeing_company,airbus_group_se,3,0.002124468068
bp_plc,boeing_company,federal_aviation_administration,3,0.002066293480
bp_plc,tesla_inc,general_motors_limited,3,0.002030333017
bp_plc,boeing_company,airbus,3,0.001982836864
bp_plc,house_srl,united_states_senate,3,0.001929201026
bp_plc,huawei_technologies_company_ltd,semiconductor_manufacturing_international,3,0.001870920030
bp_plc,tesla_inc,volkswagen_ag,3,0.001836023753
bp_plc,huawei_technologies_company_ltd,taiwan_semiconductor_manufacturing,3,0.001782129344
bp_plc,pfizer_luxco_holdings_sarl,food_and_drug_administration,3,0.001780667965
bp_plc,tesla_inc,microsoft_corp,3,0.001733804011
bp_plc,pfizer_luxco_holdings_sarl,food_and_drug_administration,3,0.001714713648
bp_plc,house_srl,united_states_congress,3,0.001714318540
bp_plc,boeing_company,united_states_air_force,3,0.001683050814
bp_plc,boeing_company,federal_aviation_administration,3,0.001663712560
bp_plc,house_srl,boeing_company,3,0.001662097923
bp_plc,tesla_inc,airbus,3,0.000942932948
bp_plc,house_srl,united_states_congress,3,0.000919355997
bp_plc,huawei_technologies_company_ltd,hsbc_holdings_plc,3,0.000903510230
bp_plc,pfizer_luxco_holdings_sarl,astrazeneca_plc,3,0.000898038500
bp_plc,tesla_inc,boeing_company,3,0.000890650059
bp_plc,semiconductor_manufacturing_international,huawei_investment_and_holding_co_ltd,3,0.000890290112
bp_plc,semiconductor_manufacturing_international,huawei_technologies_company_ltd,3,0.000890290112
bp_plc,tesla_inc,united_states_department_of_transportation,3,0.000885053959
bp_plc,boeing_company,airbus_group_se,3,0.000881618761
bp_plc,huawei_technologies_company_ltd,qualcomm_inc/de,3,0.000881239055
bp_plc,boeing_company,united_inc,3,0.000878113468
bp_plc,taiwan_semiconductor_manufacturing,semiconductor_manufacturing_international,3,0.000875200088
bp_plc,huawei_technologies_company_ltd,huawei_investment_and_holding_co_ltd,3,0.000875082200
bp_plc,boeing_company,united_states_air_force,3,0.000867444213
bp_plc,pfizer_luxco_holdings_sarl,astrazeneca_plc,3,0.000864775973
bp_plc,boeing_company,international_air_transport_association,3,0.000863950348
bp_plc,tesla_inc,boeing_company,3,0.000862864736
bp_plc,huawei_technologies_company_ltd,intel_corp,3,0.000854471023
bp_plc,boeing_company,federal_aviation_administration,3,0.000850934119
bp_plc,pfizer_luxco_holdings_sarl,modernatx_inc,3,0.000844694466
bp_plc,tesla_inc,navy_group_srl,3,0.000843285457
bp_plc,tesla_inc,nvidia_corp,3,0.000841347067
bp_plc,huawei_technologies_company_ltd,semiconductor_manufacturing_international,3,0.000838937926
bp_plc,tesla_inc,federal_reserve_system,3,0.000837038898
bp_plc,pfizer_luxco_holdings_sarl,food_and_drug_administration,3,0.000831346684
