GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Goldman Sachs Group Inc,2,Camping World Inc,Curtiss-Wright Corp,,504
Goldman Sachs Group Inc,2,Huntsman Corp,Dowdupont Inc,,336
Coca-Cola Company,1,Coca-Cola Company,Sandp Global Inc,,1512
Alphabet Inc,2,Microsoft Corp,Adobe Inc,,750
Goldman Sachs Group Inc,2,Camping World Inc,Facebook Inc,,240
Jp Morgan Chase And Co,3,Rpm International Inc/De/,Spx Corp,,12
Alphabet Inc,2,Gilead Sciences Inc,Str Holdings Inc,,33
Coca-Cola Company,2,Monster Beverage Corp,Xl Group Ltd,,196
Coca-Cola Company,3,Comscore Inc,Aol Inc,,1
Microsoft Corp,2,Hewlett Packard Enterprise Comp,Nutanix Inc,,600
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Alnylam Pharmaceuticals Inc,,576
Jp Morgan Chase And Co,3,Ally Financial,Magellan Health Inc,,165
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Snap Inc,Corporate,512
Jp Morgan Chase And Co,2,Berkshire Hathaway Inc,Restaurant Brands International,,1536
Jp Morgan Chase And Co,3,Estee Lauder Companies Inc,Sap Se,,2618
Alphabet Inc,3,Str Holdings Inc,Unilever Plc,,231
Goldman Sachs Group Inc,3,Facebook Inc,Sonoma Pharmaceuticals Inc,,72
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Jp Morgan Chase And Co,,4896
Goldman Sachs Group Inc,2,Huntsman Corp,Sasol Ltd,,528
Goldman Sachs Group Inc,3,Cms Energy Corp,Consumers Energy Co,Corporate,66
Goldman Sachs Group Inc,2,Intercontinental Exchange,Msci Inc,,680
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Bank Of New York Mellon Corp,,416
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Cpi International Inc,,51
Jp Morgan Chase And Co,2,Morningstar Inc,Apollo Global Management Llc,,4780
Goldman Sachs Group Inc,2,Wandt Offshore Inc,Devon Energy Corp/De,,64
Jp Morgan Chase And Co,2,Starbucks Corp,Square Inc,,91
Goldman Sachs Group Inc,3,Barnes Group Inc,General Electric Company,,112920
Goldman Sachs Group Inc,3,Regions Financial Corp,Visa Inc,,2288
