GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Goldman Sachs Group Inc,3,Ness Technologies Inc,Wipro Ltd,,12
Goldman Sachs Group Inc,2,Navistar International Corp,Mitsubishi Corp,,120
Goldman Sachs Group Inc,2,Citigroup Inc,Realogy Holdings Corp,,1656
Goldman Sachs Group Inc,3,Realogy Holdings Corp,Credit Suisse Group,,104
Goldman Sachs Group Inc,3,Devon Energy Corp/De,Conocophillips Co,,144
Jp Morgan Chase And Co,3,Emc Corp,Rci Hospitality Holdings Inc,,268
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Nn Inc,,1536
Goldman Sachs Group Inc,3,General Electric Company,Assa Abloy Ab,,240
Jp Morgan Chase And Co,2,Starbucks Corp,Sysco Corp,,104
Jp Morgan Chase And Co,2,Oasis Petroleum Inc,Uniti Group Inc,,50
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Totalenergies Se,,1024
Jp Morgan Chase And Co,2,Sandp Global Inc,Linkedin Corp,,230
Microsoft Corp,2,Nuance Communications Inc,Nice Ltd,,100
Pepsico Inc,1,Pepsico Inc,Hsbc Holdings Plc,,1404
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Amazon Com Inc,,663
Goldman Sachs Group Inc,3,Tesla Inc,Golden Star Resources Ltd,,120
Goldman Sachs Group Inc,3,Dowdupont Inc,Olin Corp,,1140
Goldman Sachs Group Inc,3,Tesla Inc,Kellogg Company,,80
Goldman Sachs Group Inc,3,Corelogic,First American Financial Corp,,12
Goldman Sachs Group Inc,2,Gohealth Inc,Spartan Motors Inc,,3
Alphabet Inc,2,Nasdaq Inc,Pdl Biopharma Inc,,510
Microsoft Corp,1,Microsoft Corp,Amazon Com Inc,,390
Microsoft Corp,2,Apple Inc,Nvidia Corp,,572
Jp Morgan Chase And Co,3,Ciena Corp,Infinera Corp,,42
Goldman Sachs Group Inc,3,Spartan Motors Inc,Methode Electronics Inc,,15
Goldman Sachs Group Inc,2,Snap Inc,Equitable Holdings Llc,,224
Jp Morgan Chase And Co,3,Wandt Offshore Inc,Plains Gp Holdings Lp,,48
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Valeant Pharmaceuticals International Inc,,1152
Jp Morgan Chase And Co,2,Smtc Corp,Avnet Inc,,20
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Ecolab Inc,,408
Goldman Sachs Group Inc,2,Sunedison Inc,Albemarle Corp,,48
Microsoft Corp,1,Microsoft Corp,Enterprise Financial Services Corp,,270
Pepsico Inc,2,Atandt Inc,T-Mobile Us,,1260
Pepsico Inc,3,Corelogic,Fleetcor Technologies Inc,,10
Pepsico Inc,2,United States Steel Corp,Eastman Kodak Co,,60
Pepsico Inc,2,Monster Beverage Corp,Under Armour,,546
Pepsico Inc,2,Hormel Foods Corp,J M Smucker Co,,120
Pepsico Inc,1,Pepsico Inc,Celsius Holdings Inc,Corporate,65
Pepsico Inc,3,Coca-Cola Company,Dr Pepper Snapple Group Inc,,1512
Pepsico Inc,3,Morningstar Inc,Financial Engines Llc,,4
Pepsico Inc,2,Hertz Global Holdings Inc,General Electric Company,,322320
Pepsico Inc,1,Pepsico Inc,General Motors Limited,,143
Pepsico Inc,3,Smtc Corp,Ipc Holdings Ltd,,2
Pepsico Inc,3,Exela Technologies Inc,Olin Corp,,16
Pepsico Inc,3,Smtc Corp,Iron Mountain A/S,,12
Pepsico Inc,3,Emerson Electric Co,Regal Beloit Corp,,35
Coca-Cola Company,1,Coca-Cola Company,Bank Of America Corp,,20178
Coca-Cola Company,1,Coca-Cola Company,Dr Pepper Snapple Group Inc,,196
Coca-Cola Company,1,Coca-Cola Company,Commonwealth Bank Of Australia,,4320
Coca-Cola Company,3,Rci Hospitality Holdings Inc,New York Times Co,,36
Pepsico Inc,1,Pepsico Inc,Walmart Inc,,972.4
Pepsico Inc,3,Kennametal Inc,Harsco Corp,,12
Pepsico Inc,1,Pepsico Inc,Monster Beverage Corp,,166.833333
Pepsico Inc,1,Pepsico Inc,Cse Global Ltd,,130
Coca-Cola Company,2,Herbalife Nutrition Ltd,Nu Skin Enterprises Inc,,32
Coca-Cola Company,2,Hain Celestial Group Inc,Hanesbrands Inc,,20
Coca-Cola Company,2,Sandp Global Inc,Cme Group Inc,,2808
Coca-Cola Company,2,Molson Coors Brewing Co,Waste Management Inc,,504
Coca-Cola Company,1,Coca-Cola Company,Suntory Beverage And Food Limited,,48
Coca-Cola Company,3,Netlogic Microsystems Inc,L-3 Communications Holdings,,38
Pepsico Inc,1,Pepsico Inc,Spire Corp,Communication,52
Coca-Cola Company,2,Archer Daniels Midland Co,Dowdupont Inc,,224
Coca-Cola Company,1,Coca-Cola Company,Nestle Sa Cham Et Ve,,540
Coca-Cola Company,1,Coca-Cola Company,Seaboard Corp,,64
Coca-Cola Company,3,Seacor Holdings Inc /New/,Kirby Corp,,9
Coca-Cola Company,2,Santander Holdings Usa Inc,Norfolk Southern Corp,,120
Coca-Cola Company,2,City Office Reit Inc,Jones Lang Lasalle Inc,,12
Pepsico Inc,3,Amneal Pharmaceuticals Inc,Humana Inc,,21
Pepsico Inc,1,Pepsico Inc,Nestle Sa Cham Et Ve,,585
Pepsico Inc,1,Pepsico Inc,Moodys Corp /De/,,273
Coca-Cola Company,2,Altria Group,Nci Inc,,108
Coca-Cola Company,3,Lam Research Corp,Fibrogen Inc,,30
Coca-Cola Company,2,Philip Morris International Inc,Unilever Nv Ord,,540
Coca-Cola Company,2,Post Holdings Inc,Energizer Holdings Inc,,75
Pepsico Inc,1,Pepsico Inc,Keurig Dr Pepper Inc,,130
Coca-Cola Company,2,Broadcom Ltd,Netlogic Microsystems Inc,,1710
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola Amatil Ltd,,312
Pepsico Inc,3,Weight Watchers International Inc,Big Lots Inc,,32
Pepsico Inc,2,Apollo Global Management Llc,Compass Minerals International Inc,,180
Coca-Cola Company,1,Coca-Cola Company,Us Foods Holding Corp,,36
Coca-Cola Company,1,Coca-Cola Company,Adobe Inc,,1080
Coca-Cola Company,1,Coca-Cola Company,Kellogg Company,,96
Coca-Cola Company,3,Xl Group Ltd,Allianz Se,,72
Coca-Cola Company,1,Coca-Cola Company,Morgan Stanley International Holdings Inc,Corporate,360
Pepsico Inc,3,Comcast Corp A,Cal Dive International,,70
Pepsico Inc,1,Pepsico Inc,Boston Beer Co Inc,,130
Pepsico Inc,2,Metlife Inc,Career Education Corp,,75
Pepsico Inc,1,Pepsico Inc,Hormel Foods Corp,,78
Pepsico Inc,3,Weight Watchers International Inc,Bank Of Nova Scotia,,336
Pepsico Inc,3,Weight Watchers International Inc,Office Depot Inc,,48
Pepsico Inc,3,Emc Corp,Paychex Inc,,21
Pepsico Inc,3,Digital Realty Trust,Wells Fargo And Company,,24440
Pepsico Inc,2,United States Steel Corp,Unilever Plc,,110
Pepsico Inc,2,Dover Corp,Siemens Inc,,612
Pepsico Inc,2,Morgan Stanley International Holdings Inc,Allstate Corp,,5658
Pepsico Inc,1,Pepsico Inc,Totalenergies Se,,78
Pepsico Inc,1,Pepsico Inc,Conagra Brands Inc,,78
Pepsico Inc,3,Hertz Global Holdings Inc,Nielsen Holdings Plc,,30
Coca-Cola Company,3,Ebay Inc,Altaba Inc,,280
Coca-Cola Company,2,Boston Beer Co Inc,Craft Brew Alliance,Corporate,288
Coca-Cola Company,3,Dover Corp,Nordson Corp,,18
Coca-Cola Company,1,Coca-Cola Company,Goldman Sachs Group Inc,Corporate,1536
Microsoft Corp,3,Tenet Healthcare Corp,Kindred Healthcare Inc,,10
Microsoft Corp,2,Cisco Systems Inc,Fortinet Inc,,192
Microsoft Corp,2,Pepsico Inc,Alliance Data Systems Corp,,78
Alphabet Inc,3,Formfactor Inc,Rio Tinto Plc,,378
Alphabet Inc,1,Alphabet Inc,Altaba Inc,,70
Alphabet Inc,1,Alphabet Inc,Facebook Inc,,504
Alphabet Inc,2,Network 1 Technologies Inc,Adtran Inc,,96
Pepsico Inc,1,Pepsico Inc,Morgan Stanley International Holdings Inc,Corporate,585
Alphabet Inc,3,Clean Energy Fuels Corp,Kroger Company,,35
Alphabet Inc,1,Alphabet Inc,Southern Company,,462
Alphabet Inc,2,Oracle Corp,Intel Corp,,13008
Alphabet Inc,1,Alphabet Inc,Apple Inc,,509.6
Alphabet Inc,2,Apple Inc,Skyworks Solutions,,390
Microsoft Corp,3,Red Hat Inc,Synopsys Inc,,192
Microsoft Corp,2,International Business Machines Corp,Red Hat Inc,,2856
Microsoft Corp,1,Microsoft Corp,Emc Corp,,30
Microsoft Corp,3,Morgan Stanley International Holdings Inc,China Internet Cafe Holdings Group Inc,,120
Alphabet Inc,3,Pfizer Inc,Glaxosmithkline Plc,,336
Alphabet Inc,3,Cbs Corp,New York Times Co,,228
Alphabet Inc,1,Alphabet Inc,Linkedin Corp,,28
Alphabet Inc,2,Network 1 Technologies Inc,Polycom Inc,,54
Coca-Cola Company,3,Automatic Data Processing Inc,Harley Davidson Inc,,48
Coca-Cola Company,1,Coca-Cola Company,Dean Foods Co,,24
Coca-Cola Company,1,Coca-Cola Company,Oci Partners Lp,,96
Alphabet Inc,3,Juniper Networks Inc,Deutsche Telekom Ag,,105
Microsoft Corp,2,Sandp Global Inc,Pearson Plc,,189
Coca-Cola Company,2,Santander Holdings Usa Inc,Banco Santander-Chile,,8
Microsoft Corp,3,Cme Group Inc,Kemper Corp,,48
Microsoft Corp,1,Microsoft Corp,Apple Inc,,975
Alphabet Inc,3,Pdl Biopharma Inc,Aercap Holdings Nv,Corporate,225
Alphabet Inc,1,Alphabet Inc,Peerstream Inc,,14
Alphabet Inc,3,Fair Isaac Corp,International Business Machines Corp,,4849
Alphabet Inc,3,Formfactor Inc,Linear Technology Corp /Ca/,,87
Microsoft Corp,2,Red Hat Inc,Ansys Inc,,80
Microsoft Corp,2,3M Company,Middlesex Water Co,,66
Microsoft Corp,3,Intel Corp,Micron Technology Inc,,176
Microsoft Corp,3,Middlesex Water Co,Guaranty Bancorp,,20
Microsoft Corp,3,Prudential Financial Inc,Metlife Inc,,480
Microsoft Corp,3,Square Inc,Stifel Financial Corp,,189
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Mastercard Inc,,3825
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,V F Corp,,1377
Microsoft Corp,3,Palo Alto Networks Inc,Taminco Corp,,6
Microsoft Corp,2,Sandp Global Inc,Cme Group Inc,,4704
Microsoft Corp,3,Comscore Inc,Sears Holdings Corp,,7
Microsoft Corp,1,Microsoft Corp,Altaba Inc,,75
Microsoft Corp,3,Korn Ferry International,Booz Allen Hamilton Holding Corp,,52
Microsoft Corp,1,Microsoft Corp,Facebook Inc,,420
Microsoft Corp,2,Federal National Mortgage Association,Morgan Stanley International Holdings Inc,,7200
Microsoft Corp,3,Compuware Corp,Leidos Holdings Inc,,4
Microsoft Corp,1,Microsoft Corp,Nuance Communications Inc,,6075
Microsoft Corp,2,Vmware Inc,Enterprise Products Partners L P,,70
Goldman Sachs Group Inc,2,Ecolab Inc,Swisher Hygiene Inc,,32
Goldman Sachs Group Inc,3,Frontier Communications Corp,Mandt Bank Corp,,1992
Goldman Sachs Group Inc,3,Perrigo Company Public Limited Company,Dcp Midstream Lp,,84
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Maiden Holdings Ltd,,9561.6
Goldman Sachs Group Inc,2,Greensky Inc,Banco Santander Sa,,168
Goldman Sachs Group Inc,2,Berkshire Hathaway Inc,Seritage Growth Properties,,144
Goldman Sachs Group Inc,3,Dish Network Corp,Comcast Corp A,,90
Goldman Sachs Group Inc,2,Wandt Offshore Inc,Exxon Mobil Corp,,492
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Sea Ltd,Corporate,725.333333
Jp Morgan Chase And Co,2,International Business Machines Corp,Emc Corp,,13
Jp Morgan Chase And Co,2,Amazon Com Inc,Nike Inc,,130
Jp Morgan Chase And Co,3,The Northern Trust Company,Harley Davidson Inc,,50
Alphabet Inc,3,Cbs Corp,Viacom Inc Cl B,,16445
Goldman Sachs Group Inc,3,Lions Gate Entertainment Corp /Cn/,Vivendi Sa,,400
Goldman Sachs Group Inc,2,Cbs Corp,Netflix Inc,,1397
Jp Morgan Chase And Co,3,Allstate Corp,The Travelers Companies Inc,,230
Goldman Sachs Group Inc,2,Berkshire Hathaway Inc,Union Pacific Corp,,528
Jp Morgan Chase And Co,3,Restaurant Brands International,Tim Hortons Inc,,16
Jp Morgan Chase And Co,2,Oasis Petroleum Inc,Crown Castle International Corp,,385
Jp Morgan Chase And Co,3,Kimberly-Clark Corp,Georgia Pacific Corp,,9
Goldman Sachs Group Inc,3,Fedex Corp,Sandp Global Inc,,30744
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Allstate Corp,,11960
Jp Morgan Chase And Co,2,Berkshire Hathaway Inc,Corcept Therapeutics Inc,,480
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Metro Inc,SupplyChain,104000
Jp Morgan Chase And Co,2,Chase Corp,Jp Morgan Chase And Co,,214506
Microsoft Corp,1,Microsoft Corp,Nuance Communications Inc,Corporate,900
Alphabet Inc,2,Abbvie Inc,Allergan Plc,,38208
Alphabet Inc,2,The Walt Disney Co,Cbs Corp,,672
Alphabet Inc,3,Kraft Foods Group Inc,Kimberly-Clark Corp,,9
Alphabet Inc,2,Gilead Sciences Inc,Kite Pharma Inc,Corporate,77
Coca-Cola Company,3,Reynolds American Inc,Msa Safety Inc,,162
Microsoft Corp,1,Microsoft Corp,Symantec Corp,,200
Alphabet Inc,2,Abbvie Inc,Vitae Pharmaceuticals Inc,,24
Alphabet Inc,2,Crown Castle International Corp,Deutsche Telekom Ag,,16170
Alphabet Inc,3,Apollo Global Management Llc,Apollo Commercial Real Estate Finance Inc,,50
Microsoft Corp,2,Atandt Inc,Bank Of Communications Co Ltd,,98
Microsoft Corp,1,Microsoft Corp,Oci Nv,,150
Microsoft Corp,2,Altaba Inc,Yahoo Japan Corp,,120
Microsoft Corp,3,Red Hat Inc,Progress Software Corp /Ma,,48
Alphabet Inc,2,Gilead Sciences Inc,Rps Group Plc,,44
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Jp Morgan Investment Management Inc,,2652
Goldman Sachs Group Inc,3,Kalvista Pharmaceuticals Inc,Csl Ltd,,140
Goldman Sachs Group Inc,3,Realogy Holdings Corp,Zillow Group Inc,,72
Microsoft Corp,2,Federal National Mortgage Association,Global Indemnity Ltd,,432
Microsoft Corp,2,Caleres Inc,Qvc Inc,,6
Microsoft Corp,2,Hewlett Packard Enterprise Comp,Hp Inc,,23232
Microsoft Corp,3,Enterprise Products Partners L P,Westlake Chemical Corp,,25
Microsoft Corp,2,Apple Inc,Prudential Financial Inc,,416
Microsoft Corp,3,Expedia Group Inc,Qvc Inc,,60
Microsoft Corp,2,Oracle Corp,Intuit Inc,,1314
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,General Motors Limited,,7392
Jp Morgan Chase And Co,3,Discover Financial Services,Nn Inc,,112
Jp Morgan Chase And Co,3,Tenet Healthcare Corp,Kindred Healthcare Inc,,10
Jp Morgan Chase And Co,2,Smtc Corp,Sanmina Corp,,10
Jp Morgan Chase And Co,3,Ciena Corp,Legacy Bancorp Inc,,7
Alphabet Inc,3,Caterpillar Inc,Sotherly Hotels,,2352
Alphabet Inc,3,Intel Corp,Performance Sports Group Ltd,,208
Alphabet Inc,2,Sandp Global Inc,Ihs Markit Ltd,Corporate,315
Alphabet Inc,2,Google,Glu Mobile Inc,,130
Alphabet Inc,2,Apple Inc,Ares Capital Corp,,1625
Alphabet Inc,1,Alphabet Inc,Honeywell International Inc,,336
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Vipshop Holdings Ltd,,320
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Greensky Inc,Corporate,1024
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Metro Inc,,74880
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Morningstar Inc,,748
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Cognizant Technology Solutions Corp,,9396
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Philip Morris International Inc,,15552
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Thomson Reuters Corp,,6016
Jp Morgan Chase And Co,3,Comcast Corp A,The Carlyle Group Lp,,80
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Msa Safety Inc,,918
Jp Morgan Chase And Co,2,Realogy Holdings Corp,Fidelity National Financial,,8
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Andina Acq Cp Ord Sh,,160
Jp Morgan Chase And Co,2,Oci Partners Lp,Cf Industries Holdings,,5
Jp Morgan Chase And Co,2,Intercontinental Exchange,Nasdaq Inc,,6258
Jp Morgan Chase And Co,3,Cumulus Media Inc,Lincoln National Corp,,200
Goldman Sachs Group Inc,2,Sandp Global Inc,Ness Technologies Inc,Corporate,180
Jp Morgan Chase And Co,3,Morningstar Inc,Altaba Inc,,45
Jp Morgan Chase And Co,2,Agilent Technologies Inc,Stratagene  Corp,,21
Goldman Sachs Group Inc,3,Dowdupont Inc,International Flavors And Fragrances Inc,,252
Goldman Sachs Group Inc,2,Allstate Corp,Onemain Holdings Inc,,92
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Bank Of America Corp,Corporate,9120
Jp Morgan Chase And Co,2,Starbucks Corp,Retail Opportunity Investments Corp,,26
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Student Transportation Inc,,204
Goldman Sachs Group Inc,2,Adeptus Health Inc,Canadian Pacific Railway Ltd/Cn,,24
Goldman Sachs Group Inc,2,Goodrich Petroleum Corp,American Axle And Manufacturing Holdings Inc,,96
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Contextlogic Inc,Corporate,192
Goldman Sachs Group Inc,3,Allied Capital Corp,Greenlight Capital Lp,,12
Jp Morgan Chase And Co,2,Franklin Financial Network Inc,Fifth Third Bancorp,,44
Jp Morgan Chase And Co,3,Cf Industries Holdings,Terra Nitrogen Co L P /De,,5
Jp Morgan Chase And Co,2,Fair Isaac Corp,Corelogic,,960
Goldman Sachs Group Inc,2,Intercontinental Exchange,Deutsche Bank,,10764
Jp Morgan Chase And Co,3,Cbs Corp,Amazon Com Inc,,546
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Aon Plc,Transaction,1632
Jp Morgan Chase And Co,3,Dominion Energy Inc,Brp Inc,,504
Goldman Sachs Group Inc,2,Navistar International Corp,Altimmune Inc,,900
Microsoft Corp,2,Us Bancorp,Vectren Corp,,550
Coca-Cola Company,2,Pepsico Inc,Nestle Sa Cham Et Ve,,4545
Coca-Cola Company,2,Reynolds American Inc,Loews Corp,,28
Alphabet Inc,1,Alphabet Inc,Oracle Corp,Legal,1848
Microsoft Corp,3,Fortinet Inc,Fireeye Inc,,225
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Moodys Corp /De/,,224
Jp Morgan Chase And Co,2,Zimmer Biomet Holdings,Boston Scientific Corp,,840
Goldman Sachs Group Inc,3,Philip Morris International Inc,Colgate Palmolive Co,,90
Coca-Cola Company,1,Coca-Cola Company,Coca-Cola European Partners Plc,,810
Coca-Cola Company,3,Sunpower Corp,Credit Suisse Group,,962
Coca-Cola Company,2,Citigroup Inc,Smtc Corp,,3390
Coca-Cola Company,1,Coca-Cola Company,Fomento Economico Mexicano Sab De Cv,,864
Coca-Cola Company,3,Comscore Inc,Microstrategy Inc,,6
Coca-Cola Company,1,Coca-Cola Company,Reynolds American Inc,,12
Coca-Cola Company,1,Coca-Cola Company,Hormel Foods Corp,,72
Pepsico Inc,2,Merck And Co Inc,Amneal Pharmaceuticals Inc,,288
Pepsico Inc,2,Starbucks Corp,Sabre Corp,,936
Coca-Cola Company,3,Waste Management Inc,Cit Group Inc,,252
Coca-Cola Company,3,Principal Financial Group Inc,Punjab National Bank,,24
Coca-Cola Company,3,Pepsico Inc,Cse Global Ltd,,130
Pepsico Inc,3,United States Steel Corp,Nucor Corp,,80
Pepsico Inc,1,Pepsico Inc,Wells Fargo And Company,Corporate,2080
Coca-Cola Company,1,Coca-Cola Company,Coca Cola Bottling Co Consolidated /De/,,48
Coca-Cola Company,2,Hormel Foods Corp,Rci Hospitality Holdings Inc,,968
Pepsico Inc,3,Reynolds American Inc,Msa Safety Inc,,198
Pepsico Inc,3,Career Education Corp,Wintrust Financial Corp,,60
Pepsico Inc,2,Metlife Inc,Morningstar Inc,,288
Pepsico Inc,3,Morningstar Inc,Ubs Group Ag,,2304
Coca-Cola Company,1,Coca-Cola Company,Keurig Dr Pepper Inc,,24
Pepsico Inc,3,Merck And Co Inc,White Mountains Insurance Group,,48
Pepsico Inc,2,Mondelez International Inc,Unilever Nv Ord,,5250
Pepsico Inc,1,Pepsico Inc,London Stock Exchange Group Plc,Corporate,702
Goldman Sachs Group Inc,2,Berkshire Hathaway Inc,Sherwin-Williams Company,,288
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Robinhood Markets Inc,Corporate,256
Jp Morgan Chase And Co,3,Tenet Healthcare Corp,Humana Inc,,35
Jp Morgan Chase And Co,2,Berkshire Hathaway Inc,Kraft Foods Group Inc,,96
Goldman Sachs Group Inc,2,Huntsman Corp,Private Bancorp Of America Inc,,12
Goldman Sachs Group Inc,3,Canadian Pacific Railway Ltd/Cn,Tsr Inc,,245
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,International Business Machines Corp,,663
Goldman Sachs Group Inc,3,Frontier Communications Corp,Gartner Inc,,65
Jp Morgan Chase And Co,2,General Dynamics Corp,Chicos Fas Inc,,90
Alphabet Inc,1,Alphabet Inc,Goldman Sachs Group Inc,,3584
Pepsico Inc,3,Weight Watchers International Inc,Clorox Company,,56
Pepsico Inc,2,Conagra Brands Inc,Campbell Soup Company,,6048
Pepsico Inc,2,Merck And Co Inc,Bayer Ag Ord,,1248
Pepsico Inc,2,General Electric Company,Comcast Corp A,,23620
Pepsico Inc,2,Morgan Stanley International Holdings Inc,Mbia Inc,,3240
Pepsico Inc,2,Dr Pepper Snapple Group Inc,Apple Inc,,6734
Pepsico Inc,3,Merck And Co Inc,Amerisourcebergen Corp,,60
Pepsico Inc,2,Coca-Cola Company,Reynolds American Inc,,48
Pepsico Inc,1,Pepsico Inc,Visa Inc,,143
Pepsico Inc,3,T-Mobile Us,Omnicom Group Inc,,108
Pepsico Inc,1,Pepsico Inc,Goldman Sachs Group Inc,Corporate,3328
Pepsico Inc,3,Sabre Corp,Aluminum Corp Of China Ltd,,1440
Pepsico Inc,1,Pepsico Inc,Unilever Plc,,643.5
Pepsico Inc,1,Pepsico Inc,Alexander And Baldwin Inc,Product,234
Pepsico Inc,3,Microsoft Corp,Oracle Corp,,1644
Coca-Cola Company,2,General Mills Inc,Annie'S Inc,,108
Pepsico Inc,3,J M Smucker Co,Dunkin' Brands Group,,40
Pepsico Inc,1,Pepsico Inc,Thomson Reuters Corp,,104
Pepsico Inc,2,Merck And Co Inc,Cna Financial Corp,,1296
Pepsico Inc,2,General Motors Limited,General Motors Financial Company Inc,,396
Coca-Cola Company,3,Sunpower Corp,Serica Energy Plc,,75
Coca-Cola Company,1,Coca-Cola Company,National Beverage Corp,,96
Coca-Cola Company,1,Coca-Cola Company,Freshpet Inc Cs,,48
Coca-Cola Company,1,Coca-Cola Company,Embotelladora Andina Sa,Transaction,4416
Pepsico Inc,2,Apollo Global Management Llc,Umb Financial Corp,,120
Coca-Cola Company,3,Ebay Inc,Amazon Com Inc,,468
Coca-Cola Company,3,Monster Beverage Corp,Under Armour,,91
Coca-Cola Company,3,Federal Home Loan Mortgage Corp,Sandp Global Inc,,13824
Coca-Cola Company,2,Nrg Energy,Rpm International Inc/De/,,75
Coca-Cola Company,1,Coca-Cola Company,Santander Holdings Usa Inc,Corporate,24
Coca-Cola Company,1,Coca-Cola Company,Hain Celestial Group Inc,,48
Coca-Cola Company,1,Coca-Cola Company,Treehouse Foods,,36
Coca-Cola Company,3,Canadian Pacific Railway Ltd/Cn,Kansas City Southern,,48
Coca-Cola Company,2,Santander Holdings Usa Inc,Mercantil Bank Holding Corp,,24
Coca-Cola Company,3,Gain Capital Holdings,Gartner Inc,,4210
Coca-Cola Company,3,Dollar General Corp,Dollar Tree Inc,,96
Pepsico Inc,1,Pepsico Inc,Citigroup Inc,,3094
Pepsico Inc,2,Intercontinental Exchange,Comfort Systems Usa Inc,,36
Coca-Cola Company,1,Coca-Cola Company,Whitbread Plc [United Kingdom],,288
Pepsico Inc,1,Pepsico Inc,Kellogg Company,,138.666667
Coca-Cola Company,2,Campbell Soup Company,Intercontinental Exchange,,228420
Coca-Cola Company,1,Coca-Cola Company,Chevron Corp,,144
Coca-Cola Company,2,Brown Forman Corp,Ilg Inc,,48
Coca-Cola Company,3,Smtc Corp,Ipc Holdings Ltd,,2
Coca-Cola Company,3,Smtc Corp,Anthem Inc,,16
Pepsico Inc,1,Pepsico Inc,Vodafone Group Plc,,234
Pepsico Inc,3,Collier Creek Holdings,Price T Rowe Group Inc,,240
Pepsico Inc,3,Eastman Kodak Co,Compuware Corp,,6
Pepsico Inc,3,Arch Capital Group Ltd,Axis Capital Holdings,,168
Pepsico Inc,2,United States Steel Corp,Physicians Realty Trust,,200
Pepsico Inc,2,Jp Morgan Chase And Co,Emc Corp,,714
Pepsico Inc,1,Pepsico Inc,Pioneer Food Group Ltd,Corporate,175.5
Coca-Cola Company,1,Coca-Cola Company,Coca Cola Bottling Co Consolidated /De/,SupplyChain,288
Microsoft Corp,2,Alaska Air Group,Airbus Group Se,,1980
Alphabet Inc,3,Supervalu Inc,Safeway Inc,,1
Alphabet Inc,2,Microsoft Corp,Sap Se,,6936
Pepsico Inc,2,Intercontinental Exchange,Cogent Communications Holdings Inc,Corporate,48
Pepsico Inc,2,Campbell Soup Company,Hertz Global Holdings Inc,,210
Microsoft Corp,1,Microsoft Corp,Amex Global Holdings Cv,,420
Microsoft Corp,1,Microsoft Corp,Red Hat Inc,,120
Microsoft Corp,1,Microsoft Corp,Vmware Inc,,210
Alphabet Inc,3,Skyworks Solutions,Advanced Analogic Technologies Inc,,12
Alphabet Inc,2,Gilead Sciences Inc,Teva Pharmaceutical Industries Ltd,,88
Alphabet Inc,3,Warner Media Llc,Central European Media Enterprises Ltd,,45
Microsoft Corp,3,Pepsico Inc,Cse Global Ltd,,130
Microsoft Corp,3,Eclipse Resources Corp,Bmo Financial Group,,1102
Alphabet Inc,3,Intel Corp,Taiwan Semiconductor Manufacturing,,192
Alphabet Inc,1,Alphabet Inc,Amazon Com Inc,,1092
Alphabet Inc,3,Dcp Midstream Lp,Atmos Energy Corp,,36
Alphabet Inc,2,Facebook Inc,Google,Communication,1427
Alphabet Inc,2,Ebay Inc,Goodyear Tire And Rubber Co /Oh/,HumanResources,1296
Alphabet Inc,3,Dcp Midstream Lp,Williams Companies Inc,,252
Alphabet Inc,2,Microsoft Corp,Formfactor Inc,,1350
Alphabet Inc,2,Southern Company,General Electric Company,,5840
Microsoft Corp,2,Bank Of America Corp,First Republic Bank,,1083
Alphabet Inc,2,Gilead Sciences Inc,Mckesson Corp,,154
Alphabet Inc,1,Alphabet Inc,Fitbit Inc,Corporate,2870
Alphabet Inc,2,Southern Company,Clean Energy Fuels Corp,,330
Microsoft Corp,1,Microsoft Corp,Activision Blizzard,Communication,4725
Microsoft Corp,2,Symantec Corp,Tsr Inc,,216
Microsoft Corp,1,Microsoft Corp,Cisco Systems Inc,,480
Alphabet Inc,3,Salesforce Com Inc,Axon Enterprise Inc,,56
